date,message,user_id
2024-09-25 06:24:27+00:00,"Chanel  7pcs combo

We are back again with another special combo 

Price  : 4500 birr for The whole set
AVAILABLE AT SHOP
BEST GIFT for your beloved one

@easybuyorder1 | 0976667071",-1001226361445
2024-09-25 06:24:24+00:00,unknown,-1001226361445
2024-09-24 18:06:10+00:00,unknown,-1001226361445
2024-09-24 18:06:10+00:00,"***_ G-shock*_

Part No. Ga-2100
Drive system Digital 
Material: case Resin
Material: bel Resin
Windshield Mineral glass
Dial color Full black belt 
Countdown timer
Specification Watch
Impact resistant structures (shock resist)
20 ATM water resistant
-Case-bezel material: resin
Resin band



Price -3140 Birr**

@easybuyorder1 | 0976667071",-1001226361445
2024-09-24 18:03:06+00:00,"*_G shock _*

Metal Belt 
Full Black
All working 
7Aaa Quality 

Full Black 

Price - 3300 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-09-24 18:02:43+00:00,unknown,-1001226361445
2024-09-24 18:02:42+00:00,unknown,-1001226361445
2024-09-23 12:48:40+00:00,"We are glad to announce we have started bringing stuffs from Amazon, ebay, SheIn and Alibaba just like before.

Send us the link from amazon.co.uk or other UK sites including ebay.co.uk
Alibaba and AliExpress items also

You will pay 50% advance payment and we will deliver.

EASYBUY MARKET ETHIOPIA",-1001226361445
2024-09-23 12:41:46+00:00,"POLO AIR Men's Gift Set Watch Glasses Perfume In Gift Box

• It has an analog Polo Air men's wristwatch.
• piece of Polo Air perfume (30ml)..
•glass

All in just 4500 birr

@easybuyorder1 | 0976667071",-1001226361445
2024-09-23 12:41:09+00:00,unknown,-1001226361445
2024-09-23 11:54:54+00:00,"Sauvage by Christian Dior EDP ,200ml

Style: Sensual & Elegant

Notes: Bergamot, Sichuan Pepper, Lavender, Star Anise, Nutmeg, Ambroxan, Vanilla

Characteristics: Fresh, Spicy, Aromatic

Sauvage by Christian Dior EDP, launched in 2015, combine oriental and warm vanilla notes, making this fragrance sensual and elegant. The opening is fresh yet spicy. As time goes by, Sauvage EDP smoothens out with clean lavender. The dry down is fantastic with a pleasant dose of ambroxan. Sauvage lives on the skin with great longevity and sillage.

100% original

36000birr

@easybuyorder1 | 0976667071",-1001226361445
2024-09-23 11:54:30+00:00,unknown,-1001226361445
